Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R
279,16-02-2006,Pakistan,Multan Cricket Stadium,lbw b Mohammad Sami,59,72,81.94,8998,40.17,70.34
280,19-02-2006,Pakistan,National Stadium,c Shoaib Malik b Mohammad Sami,50,82,60.98,9048,40.21,70.28
281,28-03-2006,England,Feroz Shah Kotla,b L E Plunkett,34,50,68,9082,40.19,70.27
282,31-03-2006,England,Nahar Singh Stadium,run out,5,23,21.74,9087,40.03,70.19
283,03-04-2006,England,Nehru Stadium (Margao),b P D Collingwood,46,59,77.97,9133,40.06,70.22
284,06-04-2006,England,Nehru Stadium (Kochi),c M J Hoggard b A Flintoff,65,72,90.28,9198,40.17,70.33
285,15-04-2006,England,Holkar Cricket Stadium,lbw b S I Mahmood,69,79,87.34,9267,40.29,70.43
286,18-04-2006,Pakistan,Sheikh Zayed Stadium,run out,20,29,68.97,9287,40.2,70.43
287,19-04-2006,Pakistan,Sheikh Zayed Stadium,b Mohammad Asif,92,116,79.31,9379,40.43,70.51
288,18-05-2006,West Indies,Sabina Park,c J E Taylor b D J J Bravo,105,102,102.94,9484,40.7,70.75
289,20-05-2006,West Indies,Sabina Park,c †C S Baugh b I D R Bradshaw,11,22,50,9495,40.58,70.72
290,23-05-2006,West Indies,Warner Park,lbw b I D R Bradshaw,0,4,0,9495,40.4,70.7
291,26-05-2006,West Indies,Queen's Park Oval,c R R Sarwan b C D Collymore,15,38,39.47,9510,40.3,70.61
292,28-05-2006,West Indies,Queen's Park Oval,run out,18,25,72,9528,40.2,70.61
293,18-08-2006,Sri Lanka,Sinhalese Sports Club Ground,not out,9*,19,47.37,9537,40.24,70.58
294,14-09-2006,West Indies,Kinrara Academy Oval,lbw b D R Smith,26,38,68.42,9563,40.18,70.58
295,16-09-2006,Australia,Kinrara Academy Oval,c D R Martyn b M G Johnson,6,22,27.27,9569,40.04,70.51
296,20-09-2006,West Indies,Kinrara Academy Oval,c †C S Baugh b D R Smith,0,3,0,9569,39.87,70.49
297,22-09-2006,Australia,Kinrara Academy Oval,lbw b S R Clark,7,21,33.33,9576,39.73,70.43
298,15-10-2006,England,Sawai Mansingh Stadium,c A J Strauss b J M Anderson,4,3,133.33,9580,39.59,70.45
299,26-10-2006,West Indies,Sardar Patel Stadium,run out,49,67,73.13,9629,39.63,70.46
300,29-10-2006,Australia,Punjab Cricket Association IS Bindra Stadium,c M J Clarke b B Lee,52,63,82.54,9681,39.68,70.51
301,22-11-2006,South Africa,Kingsmead,b C K Langeveldt,18,25,72,9699,39.59,70.52
302,26-11-2006,South Africa,Newlands,c A J Hall b S M Pollock,63,103,61.17,9762,39.68,70.45
303,21-01-2007,West Indies,Vidarbha Cricket Association Ground,not out,54*,35,154.29,9816,39.9,70.66
304,24-01-2007,West Indies,Barabati Stadium,b D B Powell,22,34,64.71,9838,39.83,70.64
305,27-01-2007,West Indies,MA Chidambaram Stadium,c R R Emrit b C H Gayle,57,67,85.07,9895,39.9,70.71
306,31-01-2007,West Indies,Reliance Stadium,c L M P Simmons b M N Samuels,78,109,71.56,9973,40.05,70.72
307,08-02-2007,Sri Lanka,Eden Gardens,did not bat,-,-,-,9973,40.05,70.72
308,11-02-2007,Sri Lanka,Madhavrao Scindia Cricket Ground,b M F Maharoof,5,9,55.56,9978,39.91,70.71
309,14-02-2007,Sri Lanka,Nehru Stadium (Margao),run out,66,82,80.49,10044,40.02,70.77
310,17-02-2007,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,-,10044,40.02,70.77
311,17-03-2007,Bangladesh,Queen's Park Oval,lbw b Mohammad Rafique,14,28,50,10058,39.91,70.73
312,19-03-2007,Bermuda,Queen's Park Oval,not out,7*,2,350,10065,39.94,70.77
313,23-03-2007,Sri Lanka,Queen's Park Oval,c M Muralitharan b S T Jayasuriya,60,82,73.17,10125,40.02,70.78
314,10-05-2007,Bangladesh,Shere Bangla National Stadium,c Abdur Razzak b Shakib Al Hasan,22,39,56.41,10147,39.95,70.74
315,12-05-2007,Bangladesh,Shere Bangla National Stadium,not out,42*,47,89.36,10189,40.11,70.8
316,23-06-2007,Ireland,Civil Service Cricket Club,did not bat,-,-,-,10189,40.11,70.8
317,26-06-2007,South Africa,Civil Service Cricket Club,b A Nel,74,93,79.57,10263,40.25,70.86
318,29-06-2007,South Africa,Civil Service Cricket Club,c & b C K Langeveldt,2,10,20,10265,40.1,70.82
319,01-07-2007,South Africa,Civil Service Cricket Club,run out,36,49,73.47,10301,40.08,70.83
320,16-08-2007,Scotland,Titwood,not out,10*,8,125,10311,40.12,70.86
321,21-08-2007,England,The Rose Bowl,c †M J Prior b A D Mascarenhas,46,72,63.89,10357,40.14,70.83
322,24-08-2007,England,County Ground (Bristol),not out,92*,63,146.03,10449,40.5,71.15
323,27-08-2007,England,Edgbaston,b C T Tremlett,56,61,91.8,10505,40.56,71.23
324,30-08-2007,England,Old Trafford,c †M J Prior b A Flintoff,1,8,12.5,10506,40.41,71.2
325,02-09-2007,England,Headingley,run out,24,17,141.18,10530,40.34,71.28
326,05-09-2007,England,Kennington Oval,c P D Collingwood b O A Shah,4,5,80,10534,40.21,71.29
327,08-09-2007,England,Lord's,c †M J Prior b A Flintoff,0,3,0,10534,40.05,71.27
328,29-09-2007,Australia,M Chinnaswamy Stadium,did not bat,-,-,-,10534,40.05,71.27
329,02-10-2007,Australia,Nehru Stadium (Kochi),c M G Johnson b G B Hogg,31,48,64.58,10565,40.02,71.25
330,05-10-2007,Australia,Rajiv Gandhi International Stadium,c M L Hayden b B Lee,0,4,0,10565,39.87,71.23
331,08-10-2007,Australia,Sector 16 Stadium,b N W Bracken,13,14,92.86,10578,39.77,71.25
332,11-10-2007,Australia,Reliance Stadium,lbw b B Lee,0,1,0,10578,39.62,71.25
333,14-10-2007,Australia,Vidarbha Cricket Association Ground,c B J Hodge b G B Hogg,7,13,53.85,10585,39.5,71.23
334,11-09-2009,New Zealand,R Premadasa Stadium,lbw b J D P Oram,14,45,31.11,10599,39.4,71.11
335,12-09-2009,Sri Lanka,R Premadasa Stadium,b A D Mathews,47,56,83.93,10646,39.43,71.16
336,14-09-2009,Sri Lanka,R Premadasa Stadium,c T M Dilshan b S T Jayasuriya,39,56,69.64,10685,39.43,71.15
337,26-09-2009,Pakistan,SuperSport Park,run out,76,103,73.79,10761,39.56,71.17
338,28-09-2009,Australia,SuperSport Park,did not bat,-,-,-,10761,39.56,71.17
339,30-09-2009,West Indies,Wanderers Stadium,run out,4,2,200,10765,39.43,71.19
340,03-09-2011,England,Riverside Ground,c †C Kieswetter b S C J Broad,2,6,33.33,10767,39.3,71.17
341,06-09-2011,England,The Rose Bowl,c J M Anderson b G P Swann,32,31,103.23,10799,39.27,71.24
342,09-09-2011,England,Kennington Oval,run out,2,11,18.18,10801,39.13,71.2
343,11-09-2011,England,Lord's,c & b G P Swann,19,33,57.58,10820,39.06,71.17
344,16-09-2011,England,Sophia Gardens,b G P Swann,69,79,87.34,10889,39.17,71.25
