,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,276,06-02-2006,Pakistan,Arbab Niaz Stadium,lbw b Naved-ul-Hasan,18,14,128.57,18,18.0,70.23,14,1
1,277,11-02-2006,Pakistan,Rawalpindi Cricket Stadium,c & b Shoaib Malik,56,61,91.8,74,37.0,98.67,75,2
2,278,13-02-2006,Pakistan,Gaddafi Stadium,run out,22,42,52.38,96,32.0,82.05,117,3
3,279,16-02-2006,Pakistan,Multan Cricket Stadium,lbw b Mohammad Sami,59,72,81.94,155,38.75,82.01,189,4
4,280,19-02-2006,Pakistan,National Stadium,c Shoaib Malik b Mohammad Sami,50,82,60.98,205,41.0,75.65,271,5
5,281,28-03-2006,England,Feroz Shah Kotla,b L E Plunkett,34,50,68,239,39.83,74.45,321,6
6,282,31-03-2006,England,Nahar Singh Stadium,run out,5,23,21.74,244,34.86,70.93,344,7
7,283,03-04-2006,England,Nehru Stadium (Margao),b P D Collingwood,46,59,77.97,290,36.25,71.96,403,8
8,284,06-04-2006,England,Nehru Stadium (Kochi),c M J Hoggard b A Flintoff,65,72,90.28,355,39.44,74.74,475,9
9,285,15-04-2006,England,Holkar Cricket Stadium,lbw b S I Mahmood,69,79,87.34,424,42.4,76.53,554,10
10,286,18-04-2006,Pakistan,Sheikh Zayed Stadium,run out,20,29,68.97,444,40.36,76.16,583,11
11,287,19-04-2006,Pakistan,Sheikh Zayed Stadium,b Mohammad Asif,92,116,79.31,536,44.67,76.68,699,12
12,288,18-05-2006,West Indies,Sabina Park,c J E Taylor b D J J Bravo,105,102,102.94,641,49.31,80.02,801,13
13,289,20-05-2006,West Indies,Sabina Park,c †C S Baugh b I D R Bradshaw,11,22,50,652,46.57,79.22,823,14
14,290,23-05-2006,West Indies,Warner Park,lbw b I D R Bradshaw,0,4,0,652,43.47,78.84,827,15
15,291,26-05-2006,West Indies,Queen's Park Oval,c R R Sarwan b C D Collymore,15,38,39.47,667,41.69,77.11,865,16
16,292,28-05-2006,West Indies,Queen's Park Oval,run out,18,25,72,685,40.29,76.97,890,17
17,293,18-08-2006,Sri Lanka,Sinhalese Sports Club Ground,not out,9*,19,47.37,694,40.82,76.35,909,17
18,294,14-09-2006,West Indies,Kinrara Academy Oval,lbw b D R Smith,26,38,68.42,720,40.0,76.03,947,18
19,295,16-09-2006,Australia,Kinrara Academy Oval,c D R Martyn b M G Johnson,6,22,27.27,726,38.21,74.92,969,19
20,296,20-09-2006,West Indies,Kinrara Academy Oval,c †C S Baugh b D R Smith,0,3,0,726,36.3,74.69,972,20
21,297,22-09-2006,Australia,Kinrara Academy Oval,lbw b S R Clark,7,21,33.33,733,34.9,73.82,993,21
22,298,15-10-2006,England,Sawai Mansingh Stadium,c A J Strauss b J M Anderson,4,3,133.33,737,33.5,74.0,996,22
23,299,26-10-2006,West Indies,Sardar Patel Stadium,run out,49,67,73.13,786,34.17,73.94,1063,23
24,300,29-10-2006,Australia,Punjab Cricket Association IS Bindra Stadium,c M J Clarke b B Lee,52,63,82.54,838,34.92,74.42,1126,24
25,301,22-11-2006,South Africa,Kingsmead,b C K Langeveldt,18,25,72,856,34.24,74.37,1151,25
26,302,26-11-2006,South Africa,Newlands,c A J Hall b S M Pollock,63,103,61.17,919,35.35,73.29,1254,26
