,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,1,03-04-1996,Sri Lanka,Padang Cricket Ground,c †R S Kaluwitharana b M Muralitharan,3,4,75,3,3.0,75.0,4,1
1,2,05-04-1996,Pakistan,Padang Cricket Ground,run out,4,7,57.14,7,3.5,63.64,11,2
2,3,12-04-1996,Pakistan,Sharjah Cricket Stadium,c †Rashid Latif b Mushtaq Ahmed,3,5,60,10,3.33,62.5,16,3
3,4,14-04-1996,South Africa,Sharjah Cricket Stadium,c J N Rhodes b S M Pollock,11,21,52.38,21,5.25,56.76,37,4
4,5,26-05-1996,England,Old Trafford,not out,22*,15,146.67,43,10.75,82.69,52,4
5,6,28-08-1996,Sri Lanka,R Premadasa Stadium,not out,7*,4,175,50,12.5,89.29,56,4
6,7,01-09-1996,Zimbabwe,Sinhalese Sports Club Ground,did not bat,-,-,-,50,12.5,89.29,56,4
7,8,06-09-1996,Australia,Sinhalese Sports Club Ground,b P R Reiffel,13,25,52,63,12.6,77.78,81,5
8,9,16-09-1996,Pakistan,"Cricket, Skating & Curling Club",c Aamir Sohail b Saleem Malik,39,50,78,102,17.0,77.86,131,6
9,10,17-09-1996,Pakistan,"Cricket, Skating & Curling Club",b Saqlain Mushtaq,90,114,78.95,192,27.43,78.37,245,7
10,11,18-09-1996,Pakistan,"Cricket, Skating & Curling Club",c Saleem Elahi b Saqlain Mushtaq,46,93,49.46,238,29.75,70.41,338,8
11,12,21-09-1996,Pakistan,"Cricket, Skating & Curling Club",c †Moin Khan b Saqlain Mushtaq,25,25,100,263,29.22,72.45,363,9
12,13,23-09-1996,Pakistan,"Cricket, Skating & Curling Club",c sub b Mushtaq Ahmed,20,39,51.28,283,28.3,70.4,402,10
13,14,17-10-1996,South Africa,Lal Bahadur Shastri Stadium,c J N Rhodes b D N Crookes,62,87,71.26,345,31.36,70.55,489,11
14,15,21-10-1996,Australia,M Chinnaswamy Stadium,lbw b D W Fleming,6,13,46.15,351,29.25,69.92,502,12
15,16,23-10-1996,South Africa,Sawai Mansingh Stadium,c †D J Richardson b B M McMillan,0,1,0,351,27.0,69.78,503,13
16,17,29-10-1996,South Africa,Madhavrao Scindia Cricket Ground,run out,21,40,52.5,372,26.57,68.51,543,14
17,18,03-11-1996,Australia,Punjab Cricket Association IS Bindra Stadium,c M A Taylor b S G Law,56,67,83.58,428,28.53,70.16,610,15
18,19,06-11-1996,South Africa,Wankhede Stadium,b P S De Villiers,31,41,75.61,459,28.69,70.51,651,16
19,20,14-12-1996,South Africa,Wankhede Stadium,run out,16,32,50,475,27.94,69.55,683,17
