,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,334,11-09-2009,New Zealand,R Premadasa Stadium,lbw b J D P Oram,14,45,31.11,14,14.0,71.11,45,1
1,335,12-09-2009,Sri Lanka,R Premadasa Stadium,b A D Mathews,47,56,83.93,61,30.5,60.4,101,2
2,336,14-09-2009,Sri Lanka,R Premadasa Stadium,c T M Dilshan b S T Jayasuriya,39,56,69.64,100,33.33,63.69,157,3
3,337,26-09-2009,Pakistan,SuperSport Park,run out,76,103,73.79,176,44.0,67.69,260,4
4,338,28-09-2009,Australia,SuperSport Park,did not bat,-,-,-,176,44.0,67.69,260,4
5,339,30-09-2009,West Indies,Wanderers Stadium,run out,4,2,200,180,36.0,68.7,262,5
