,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,192,01-01-2003,New Zealand,AMI Stadium,c D L Vettori b P A Hitchcock,20,59,33.9,20,20.0,69.05,59,1
1,193,04-01-2003,New Zealand,Queenstown Events Centre,b A R Adams,18,52,34.62,38,19.0,34.23,111,2
2,194,08-01-2003,New Zealand,Westpac Stadium,c †B B McCullum b S B Styris,7,41,17.07,45,15.0,29.61,152,3
3,195,11-01-2003,New Zealand,Eden Park,lbw b S B Styris,21,50,42,66,16.5,32.67,202,4
4,196,14-01-2003,New Zealand,Seddon Park,c S B Styris b K D Mills,12,26,46.15,78,15.6,34.21,228,5
5,197,12-02-2003,Netherlands,Boland Park,b T B M de Leede,17,38,44.74,95,15.83,35.71,266,6
6,198,15-02-2003,Australia,SuperSport Park,b J N Gillespie,1,23,4.35,96,13.71,33.22,289,7
7,199,19-02-2003,Zimbabwe,Harare Sports Club,not out,43*,55,78.18,139,19.86,40.41,344,7
8,200,23-02-2003,Namibia,City Oval,did not bat,-,-,-,139,19.86,40.41,344,7
9,201,26-02-2003,England,Kingsmead,c P D Collingwood b A R Caddick,62,72,86.11,201,25.12,48.32,416,8
10,202,01-03-2003,Pakistan,SuperSport Park,not out,44*,76,57.89,245,30.62,49.8,492,8
11,203,07-03-2003,Kenya,Newlands,c & b C O Obuya,32,73,43.84,277,30.78,49.03,565,9
12,204,10-03-2003,Sri Lanka,Wanderers Stadium,not out,18*,12,150,295,32.78,51.13,577,9
13,205,14-03-2003,New Zealand,SuperSport Park,not out,53*,89,59.55,348,38.67,52.25,666,9
14,206,20-03-2003,Kenya,Kingsmead,not out,1*,1,100,349,38.78,52.32,667,9
15,207,23-03-2003,Australia,Wanderers Stadium,b A J Bichel,47,57,82.46,396,39.6,54.7,724,10
16,208,23-10-2003,New Zealand,MA Chidambaram Stadium,c S B Styris b D L Vettori,4,6,66.67,400,36.36,54.79,730,11
17,209,26-10-2003,Australia,Captain Roop Singh Stadium,did not bat,-,-,-,400,36.36,54.79,730,11
18,210,01-11-2003,Australia,Wankhede Stadium,c A J Bichel b M J Clarke,59,70,84.29,459,38.25,57.38,800,12
19,211,06-11-2003,New Zealand,Barabati Stadium,c S B Styris b D L Vettori,31,41,75.61,490,37.69,58.26,841,13
20,212,12-11-2003,Australia,M Chinnaswamy Stadium,c & b M S Kasprowicz,34,33,103.03,524,37.43,59.95,874,14
21,213,15-11-2003,New Zealand,Lal Bahadur Shastri Stadium,not out,50*,22,227.27,574,41.0,64.06,896,14
22,214,18-11-2003,Australia,Eden Gardens,b M J Clarke,49,69,71.01,623,41.53,64.56,965,15
