,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,215,09-01-2004,Australia,Melbourne Cricket Ground,c I J Harvey b M J Clarke,16,19,84.21,16,16.0,68.85,19,1
1,216,14-01-2004,Zimbabwe,Bellerive Oval,did not bat,-,-,-,16,16.0,84.21,19,1
2,217,18-01-2004,Australia,Brisbane Cricket Ground,c B A Williams b I J Harvey,74,64,115.63,90,45.0,108.43,83,2
3,218,20-01-2004,Zimbabwe,Brisbane Cricket Ground,c H H Streak b S M Ervine,84,106,79.25,174,58.0,92.06,189,3
4,219,22-01-2004,Australia,Sydney Cricket Ground,c †A C Gilchrist b A J Bichel,12,7,171.43,186,46.5,94.9,196,4
5,220,24-01-2004,Zimbabwe,Adelaide Oval,c A M Blignaut b R W Price,56,72,77.78,242,48.4,90.3,268,5
6,221,01-02-2004,Australia,WACA Ground,c M E K Hussey b B A Williams,13,38,34.21,255,42.5,83.33,306,6
7,222,03-02-2004,Zimbabwe,WACA Ground,b A M Blignaut,10,24,41.67,265,37.86,80.3,330,7
8,223,06-02-2004,Australia,Melbourne Cricket Ground,c M L Hayden b I J Harvey,12,29,41.38,277,34.62,77.16,359,8
9,224,08-02-2004,Australia,Sydney Cricket Ground,run out,0,11,0,277,30.78,74.86,370,9
10,225,13-03-2004,Pakistan,National Stadium,b Shoaib Akhtar,99,104,95.19,376,37.6,79.32,474,10
11,226,16-03-2004,Pakistan,Rawalpindi Cricket Stadium,b Mohammad Sami,36,45,80,412,37.45,79.38,519,11
12,227,19-03-2004,Pakistan,Arbab Niaz Stadium,c †Moin Khan b Shoaib Malik,33,86,38.37,445,37.08,73.55,605,12
13,228,21-03-2004,Pakistan,Gaddafi Stadium,not out,76*,92,82.61,521,43.42,74.75,697,12
14,229,24-03-2004,Pakistan,Gaddafi Stadium,b Mohammad Sami,4,10,40,525,40.38,74.26,707,13
15,230,16-07-2004,United Arab Emirates,Rangiri Dambulla International Stadium,b Rizwan Latif,104,93,111.83,629,44.93,78.62,800,14
16,231,18-07-2004,Sri Lanka,Rangiri Dambulla International Stadium,b M Muralitharan,82,100,82,711,47.4,79.0,900,15
17,232,21-07-2004,Bangladesh,Sinhalese Sports Club Ground,did not bat,-,-,-,711,47.4,79.0,900,15
18,233,24-07-2004,Pakistan,R Premadasa Stadium,lbw b Abdul Razzaq,5,9,55.56,716,44.75,78.77,909,16
19,234,27-07-2004,Sri Lanka,R Premadasa Stadium,c †K C Sangakkara b M F Maharoof,1,7,14.29,717,42.18,78.28,916,17
20,235,01-08-2004,Sri Lanka,R Premadasa Stadium,c T M Dilshan b U D U Chandana,16,28,57.14,733,40.72,77.65,944,18
21,236,21-08-2004,Pakistan,VRA Ground,run out,0,1,0,733,38.58,77.57,945,19
22,237,23-08-2004,Australia,VRA Ground,did not bat,-,-,-,733,38.58,77.57,945,19
23,238,01-09-2004,England,Trent Bridge,c D Gough b A G Wharf,13,16,81.25,746,37.3,77.63,961,20
24,239,03-09-2004,England,Kennington Oval,c †G O Jones b A G Wharf,1,8,12.5,747,35.57,77.09,969,21
25,240,05-09-2004,England,Lord's,c P D Collingwood b S J Harmison,52,92,56.52,799,36.32,75.31,1061,22
26,241,11-09-2004,Kenya,The Rose Bowl,not out,30*,16,187.5,829,37.68,76.97,1077,22
27,242,19-09-2004,Pakistan,Edgbaston,c & b Naved-ul-Hasan,67,108,62.04,896,38.96,75.61,1185,23
28,243,13-11-2004,Pakistan,Eden Gardens,c Shahid Afridi b Abdul Razzaq,16,34,47.06,912,38.0,74.82,1219,24
29,244,23-12-2004,Bangladesh,MA Aziz Stadium,c †Khaled Mashud b Khaled Mahmud,53,80,66.25,965,38.6,74.29,1299,25
30,245,27-12-2004,Bangladesh,Bangabandhu National Stadium,c Mashrafe Mortaza b Mohammad Rafique,60,68,88.24,1025,39.42,74.98,1367,26
