,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,246,10-01-2005,ICC World XI,Melbourne Cricket Ground,not out,75*,71,105.63,75,inf,69.81,71,0
1,247,02-04-2005,Pakistan,Nehru Stadium (Kochi),run out,104,139,74.82,179,179.0,85.24,210,1
2,248,05-04-2005,Pakistan,Dr YS Rajasekhara Reddy Cricket Stadium,c Shahid Afridi b Naved-ul-Hasan,52,59,88.14,231,115.5,85.87,269,2
3,249,09-04-2005,Pakistan,Keenan Stadium,c Younis Khan b Mohammad Sami,28,30,93.33,259,86.33,86.62,299,3
4,250,12-04-2005,Pakistan,Sardar Patel Stadium,c Naved-ul-Hasan b Shoaib Malik,19,13,146.15,278,69.5,89.1,312,4
5,251,15-04-2005,Pakistan,Green Park,run out,86,115,74.78,364,72.8,85.25,427,5
6,252,17-04-2005,Pakistan,Feroz Shah Kotla,run out,19,29,65.52,383,63.83,83.99,456,6
7,253,30-07-2005,Sri Lanka,Rangiri Dambulla International Stadium,b U D U Chandana,54,96,56.25,437,62.43,79.17,552,7
8,254,31-07-2005,West Indies,Rangiri Dambulla International Stadium,not out,52*,65,80,489,69.86,79.25,617,7
9,255,03-08-2005,Sri Lanka,Rangiri Dambulla International Stadium,lbw b T M Dilshan,0,1,0,489,61.12,79.13,618,8
10,256,07-08-2005,West Indies,R Premadasa Stadium,b O A C Banks,10,26,38.46,499,55.44,77.48,644,9
11,257,09-08-2005,Sri Lanka,R Premadasa Stadium,run out,69,99,69.7,568,56.8,76.45,743,10
12,258,26-08-2005,New Zealand,Queens Sports Club,b S E Bond,5,9,55.56,573,52.09,76.2,752,11
13,259,29-08-2005,Zimbabwe,Harare Sports Club,b P Utseya,14,30,46.67,587,48.92,75.06,782,12
14,260,02-09-2005,New Zealand,Harare Sports Club,b S B Styris,39,61,63.93,626,48.15,74.26,843,13
15,261,04-09-2005,Zimbabwe,Harare Sports Club,b N B Mahwire,6,11,54.55,632,45.14,74.0,854,14
16,262,06-09-2005,New Zealand,Harare Sports Club,lbw b D L Vettori,0,2,0,632,42.13,73.83,856,15
17,263,05-10-2005,Australia,Etihad Stadium,c R T Ponting b B Lee,4,14,28.57,636,39.75,73.1,870,16
18,264,07-10-2005,Australia,Etihad Stadium,b A Symonds,26,35,74.29,662,38.94,73.15,905,17
19,265,09-10-2005,Australia,Etihad Stadium,c D R Martyn b B Lee,16,38,42.11,678,37.67,71.9,943,18
20,266,25-10-2005,Sri Lanka,Vidarbha Cricket Association Ground,not out,85*,63,134.92,763,42.39,75.84,1006,18
21,267,28-10-2005,Sri Lanka,Punjab Cricket Association IS Bindra Stadium,not out,2*,5,40,765,42.5,75.67,1011,18
22,268,31-10-2005,Sri Lanka,Sawai Mansingh Stadium,c & b M Muralitharan,28,34,82.35,793,41.74,75.89,1045,19
23,269,03-11-2005,Sri Lanka,Nehru Stadium (Pune),c W P U J C Vaas b C R D Fernando,63,72,87.5,856,42.8,76.63,1117,20
24,270,06-11-2005,Sri Lanka,Sardar Patel Stadium,not out,103*,120,85.83,959,47.95,77.53,1237,20
25,271,12-11-2005,Sri Lanka,Reliance Stadium,not out,31*,48,64.58,990,49.5,77.04,1285,20
26,272,16-11-2005,South Africa,Rajiv Gandhi International Stadium,b A Nel,8,24,33.33,998,47.52,76.24,1309,21
27,273,19-11-2005,South Africa,M Chinnaswamy Stadium,c & b J L Ontong,10,17,58.82,1008,45.82,76.02,1326,22
28,274,25-11-2005,South Africa,Eden Gardens,b C K Langeveldt,6,31,19.35,1014,44.09,74.72,1357,23
29,275,28-11-2005,South Africa,Wankhede Stadium,not out,78*,106,73.58,1092,47.48,74.64,1463,23
