,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,140,25-03-2001,Australia,M Chinnaswamy Stadium,c I J Harvey b D R Martyn,80,84,95.24,80,80.0,68.07,84,1
1,141,28-03-2001,Australia,Nehru Stadium (Pune),run out,13,23,56.52,93,46.5,86.92,107,2
2,142,31-03-2001,Australia,Nehru Stadium (Indore),c †A C Gilchrist b D W Fleming,15,34,44.12,108,36.0,76.6,141,3
3,143,03-04-2001,Australia,Indira Priyadarshini Stadium,c & b S K Warne,7,10,70,115,28.75,76.16,151,4
4,144,06-04-2001,Australia,Nehru Stadium (Margao),c S R Waugh b A Symonds,31,45,68.89,146,29.2,74.49,196,5
5,145,24-06-2001,Zimbabwe,Harare Sports Club,did not bat,-,-,-,146,29.2,74.49,196,5
6,146,27-06-2001,Zimbabwe,Queens Sports Club,not out,72*,64,112.5,218,43.6,83.85,260,5
7,147,30-06-2001,West Indies,Queens Sports Club,st R D Jacobs b M V Nagamootoo,4,5,80,222,37.0,83.77,265,6
8,148,04-07-2001,West Indies,Harare Sports Club,b C H Gayle,15,18,83.33,237,33.86,83.75,283,7
9,149,07-07-2001,West Indies,Harare Sports Club,b R D King,30,32,93.75,267,33.38,84.76,315,8
10,150,20-07-2001,New Zealand,R Premadasa Stadium,c M S Sinclair b D J Nash,15,36,41.67,282,31.33,80.34,351,9
11,151,22-07-2001,Sri Lanka,R Premadasa Stadium,not out,49*,81,60.49,331,36.78,76.62,432,9
12,152,26-07-2001,New Zealand,R Premadasa Stadium,b J D P Oram,27,57,47.37,358,35.8,73.21,489,10
13,153,28-07-2001,Sri Lanka,R Premadasa Stadium,c †R S Kaluwitharana b W P U J C Vaas,43,79,54.43,401,36.45,70.6,568,11
14,154,01-08-2001,Sri Lanka,Sinhalese Sports Club Ground,st R S Kaluwitharana b S T Jayasuriya,47,88,53.41,448,37.33,68.29,656,12
15,155,02-08-2001,New Zealand,Sinhalese Sports Club Ground,not out,57*,56,101.79,505,42.08,70.93,712,12
16,156,05-08-2001,Sri Lanka,R Premadasa Stadium,b C R D Fernando,21,36,58.33,526,40.46,70.32,748,13
17,157,05-10-2001,South Africa,Wanderers Stadium,c N D McKenzie b A Nel,1,7,14.29,527,37.64,69.8,755,14
18,158,10-10-2001,South Africa,SuperSport Park,c L Klusener b S M Pollock,54,79,68.35,581,38.73,69.66,834,15
19,159,12-10-2001,Kenya,Mangaung Oval,did not bat,-,-,-,581,38.73,69.66,834,15
20,160,17-10-2001,Kenya,St George's Park,c †D O Obuya b A O Suji,11,23,47.83,592,37.0,69.08,857,16
21,161,19-10-2001,South Africa,Buffalo Park,not out,71*,87,81.61,663,41.44,70.23,944,16
22,162,24-10-2001,Kenya,Boland Park,did not bat,-,-,-,663,41.44,70.23,944,16
23,163,26-10-2001,South Africa,Kingsmead,c S M Pollock b J M Kemp,77,102,75.49,740,43.53,70.75,1046,17
