,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,109,10-01-2000,Pakistan,Brisbane Cricket Ground,c †Moin Khan b Shoaib Akhtar,8,18,44.44,8,8.0,68.83,18,1
1,110,12-01-2000,Australia,Melbourne Cricket Ground,c D R Martyn b S Lee,60,85,70.59,68,34.0,66.02,103,2
2,111,14-01-2000,Australia,Sydney Cricket Ground,lbw b A Symonds,22,70,31.43,90,30.0,52.02,173,3
3,112,21-01-2000,Pakistan,Bellerive Oval,lbw b Wasim Akram,15,31,48.39,105,26.25,51.47,204,4
4,113,25-01-2000,Pakistan,Adelaide Oval,c Inzamam-ul-Haq b Shahid Afridi,32,58,55.17,137,27.4,52.29,262,5
5,114,26-01-2000,Australia,Adelaide Oval,c †A C Gilchrist b S Lee,63,82,76.83,200,33.33,58.14,344,6
6,115,28-01-2000,Pakistan,WACA Ground,c †Moin Khan b Wasim Akram,3,14,21.43,203,29.0,56.7,358,7
7,116,30-01-2000,Australia,WACA Ground,c M E Waugh b S Lee,65,106,61.32,268,33.5,57.76,464,8
8,117,09-03-2000,South Africa,Nehru Stadium (Kochi),c H S Williams b W J Cronje,17,21,80.95,285,31.67,58.76,485,9
9,118,12-03-2000,South Africa,Keenan Stadium,c H H Gibbs b N Boje,36,59,61.02,321,32.1,59.01,544,10
10,119,15-03-2000,South Africa,Nahar Singh Stadium,run out,73,109,66.97,394,35.82,60.34,653,11
11,120,17-03-2000,South Africa,Reliance Stadium,c W J Cronje b N Boje,3,10,30,397,33.08,59.88,663,12
12,121,19-03-2000,South Africa,Vidarbha Cricket Association Ground,run out,79,70,112.86,476,36.62,64.94,733,13
13,122,22-03-2000,South Africa,Sharjah Cricket Stadium,b J H Kallis,8,25,32,484,34.57,63.85,758,14
14,123,23-03-2000,Pakistan,Sharjah Cricket Stadium,c sub b Abdul Razzaq,26,70,37.14,510,34.0,61.59,828,15
15,124,26-03-2000,Pakistan,Sharjah Cricket Stadium,c †Moin Khan b Shoaib Akhtar,29,46,63.04,539,33.69,61.67,874,16
16,125,27-03-2000,South Africa,Sharjah Cricket Stadium,c N D McKenzie b L Klusener,26,60,43.33,565,33.24,60.49,934,17
17,126,30-05-2000,Bangladesh,Bangabandhu National Stadium,did not bat,-,-,-,565,33.24,60.49,934,17
18,127,01-06-2000,Sri Lanka,Bangabandhu National Stadium,c & b M Muralitharan,24,44,54.55,589,32.72,60.22,978,18
19,128,03-06-2000,Pakistan,Bangabandhu National Stadium,lbw b Abdul Razzaq,26,32,81.25,615,32.37,60.89,1010,19
20,129,03-10-2000,Kenya,Gymkhana Club Ground,not out,68*,87,78.16,683,35.95,62.26,1097,19
21,130,07-10-2000,Australia,Gymkhana Club Ground,c S Lee b J N Gillespie,9,18,50,692,34.6,62.06,1115,20
22,131,13-10-2000,South Africa,Gymkhana Club Ground,c †M V Boucher b L Klusener,58,71,81.69,750,35.71,63.24,1186,21
23,132,15-10-2000,New Zealand,Gymkhana Club Ground,run out,22,35,62.86,772,35.09,63.23,1221,22
24,133,20-10-2000,Sri Lanka,Sharjah Cricket Stadium,run out,16,21,76.19,788,34.26,63.45,1242,23
25,134,22-10-2000,Zimbabwe,Sharjah Cricket Stadium,c G W Flower b D P Viljoen,85,121,70.25,873,36.38,64.05,1363,24
26,135,02-12-2000,Zimbabwe,Barabati Stadium,run out,9,16,56.25,882,35.28,63.96,1379,25
27,136,05-12-2000,Zimbabwe,Sardar Patel Stadium,run out,62,88,70.45,944,36.31,64.35,1467,26
28,137,08-12-2000,Zimbabwe,Barkatullah Khan Stadium,c G J Rennie b G W Flower,30,53,56.6,974,36.07,64.08,1520,27
29,138,11-12-2000,Zimbabwe,Green Park,did not bat,-,-,-,974,36.07,64.08,1520,27
30,139,14-12-2000,Zimbabwe,Madhavrao Scindia Cricket Ground,c H H Streak b B C Strang,6,16,37.5,980,35.0,63.8,1536,28
