,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,303,21-01-2007,West Indies,Vidarbha Cricket Association Ground,not out,54*,35,154.29,54,inf,70.66,35,0
1,304,24-01-2007,West Indies,Barabati Stadium,b D B Powell,22,34,64.71,76,76.0,110.14,69,1
2,305,27-01-2007,West Indies,MA Chidambaram Stadium,c R R Emrit b C H Gayle,57,67,85.07,133,66.5,97.79,136,2
3,306,31-01-2007,West Indies,Reliance Stadium,c L M P Simmons b M N Samuels,78,109,71.56,211,70.33,86.12,245,3
4,307,08-02-2007,Sri Lanka,Eden Gardens,did not bat,-,-,-,211,70.33,86.12,245,3
5,308,11-02-2007,Sri Lanka,Madhavrao Scindia Cricket Ground,b M F Maharoof,5,9,55.56,216,54.0,85.04,254,4
6,309,14-02-2007,Sri Lanka,Nehru Stadium (Margao),run out,66,82,80.49,282,56.4,83.93,336,5
7,310,17-02-2007,Sri Lanka,Dr YS Rajasekhara Reddy Cricket Stadium,did not bat,-,-,-,282,56.4,83.93,336,5
8,311,17-03-2007,Bangladesh,Queen's Park Oval,lbw b Mohammad Rafique,14,28,50,296,49.33,81.32,364,6
9,312,19-03-2007,Bermuda,Queen's Park Oval,not out,7*,2,350,303,50.5,82.79,366,6
10,313,23-03-2007,Sri Lanka,Queen's Park Oval,c M Muralitharan b S T Jayasuriya,60,82,73.17,363,51.86,81.03,448,7
11,314,10-05-2007,Bangladesh,Shere Bangla National Stadium,c Abdur Razzak b Shakib Al Hasan,22,39,56.41,385,48.12,79.06,487,8
12,315,12-05-2007,Bangladesh,Shere Bangla National Stadium,not out,42*,47,89.36,427,53.38,79.96,534,8
13,316,23-06-2007,Ireland,Civil Service Cricket Club,did not bat,-,-,-,427,53.38,79.96,534,8
14,317,26-06-2007,South Africa,Civil Service Cricket Club,b A Nel,74,93,79.57,501,55.67,79.9,627,9
15,318,29-06-2007,South Africa,Civil Service Cricket Club,c & b C K Langeveldt,2,10,20,503,50.3,78.96,637,10
16,319,01-07-2007,South Africa,Civil Service Cricket Club,run out,36,49,73.47,539,49.0,78.57,686,11
17,320,16-08-2007,Scotland,Titwood,not out,10*,8,125,549,49.91,79.11,694,11
18,321,21-08-2007,England,The Rose Bowl,c †M J Prior b A D Mascarenhas,46,72,63.89,595,49.58,77.68,766,12
19,322,24-08-2007,England,County Ground (Bristol),not out,92*,63,146.03,687,57.25,82.87,829,12
20,323,27-08-2007,England,Edgbaston,b C T Tremlett,56,61,91.8,743,57.15,83.48,890,13
21,324,30-08-2007,England,Old Trafford,c †M J Prior b A Flintoff,1,8,12.5,744,53.14,82.85,898,14
22,325,02-09-2007,England,Headingley,run out,24,17,141.18,768,51.2,83.93,915,15
23,326,05-09-2007,England,Kennington Oval,c P D Collingwood b O A Shah,4,5,80,772,48.25,83.91,920,16
24,327,08-09-2007,England,Lord's,c †M J Prior b A Flintoff,0,3,0,772,45.41,83.64,923,17
25,328,29-09-2007,Australia,M Chinnaswamy Stadium,did not bat,-,-,-,772,45.41,83.64,923,17
26,329,02-10-2007,Australia,Nehru Stadium (Kochi),c M G Johnson b G B Hogg,31,48,64.58,803,44.61,82.7,971,18
27,330,05-10-2007,Australia,Rajiv Gandhi International Stadium,c M L Hayden b B Lee,0,4,0,803,42.26,82.36,975,19
28,331,08-10-2007,Australia,Sector 16 Stadium,b N W Bracken,13,14,92.86,816,40.8,82.51,989,20
29,332,11-10-2007,Australia,Reliance Stadium,lbw b B Lee,0,1,0,816,38.86,82.42,990,21
30,333,14-10-2007,Australia,Vidarbha Cricket Association Ground,c B J Hodge b G B Hogg,7,13,53.85,823,37.41,82.05,1003,22
