,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,52,14-05-1998,Bangladesh,Punjab Cricket Association IS Bindra Stadium,c & b Athar Ali Khan,5,22,22.73,5,5.0,65.1,22,1
1,53,20-05-1998,Kenya,M Chinnaswamy Stadium,b A Y A Karim,49,62,79.03,54,27.0,64.29,84,2
2,54,25-05-1998,Bangladesh,Wankhede Stadium,b Mohammad Rafique,1,21,4.76,55,18.33,52.38,105,3
3,55,28-05-1998,Kenya,Captain Roop Singh Stadium,c A V Vadher b S O Tikolo,33,53,62.26,88,22.0,55.7,158,4
4,56,12-09-1998,Pakistan,"Cricket, Skating & Curling Club",c †Moin Khan b Abdul Razzaq,4,10,40,92,18.4,54.76,168,5
5,57,13-09-1998,Pakistan,"Cricket, Skating & Curling Club",c & b Abdul Razzaq,18,30,60,110,18.33,55.56,198,6
6,58,16-09-1998,Pakistan,"Cricket, Skating & Curling Club",b Mohammad Zahid,9,30,30,119,17.0,52.19,228,7
7,59,19-09-1998,Pakistan,"Cricket, Skating & Curling Club",run out,1,1,100,120,15.0,52.4,229,8
8,60,26-09-1998,Zimbabwe,Queens Sports Club,c A D R Campbell b G B Brent,64,98,65.31,184,20.44,56.27,327,9
9,61,27-09-1998,Zimbabwe,Queens Sports Club,did not bat,-,-,-,184,20.44,56.27,327,9
10,62,30-09-1998,Zimbabwe,Harare Sports Club,c H H Streak b A R Whittall,28,42,66.67,212,21.2,57.45,369,10
11,63,28-10-1998,Australia,Bangabandhu National Stadium,run out,48,80,60,260,23.64,57.91,449,11
12,64,31-10-1998,West Indies,Bangabandhu National Stadium,c S C Williams b C L Hooper,20,54,37.04,280,23.33,55.67,503,12
13,65,11-11-1998,Zimbabwe,Sharjah Cricket Stadium,c N C Johnson b H K Olonga,3,13,23.08,283,21.77,54.84,516,13
