,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,340,03-09-2011,England,Riverside Ground,c †C Kieswetter b S C J Broad,2,6,33.33,2,2.0,71.17,6,1
1,341,06-09-2011,England,The Rose Bowl,c J M Anderson b G P Swann,32,31,103.23,34,17.0,91.89,37,2
2,342,09-09-2011,England,Kennington Oval,run out,2,11,18.18,36,12.0,75.0,48,3
3,343,11-09-2011,England,Lord's,c & b G P Swann,19,33,57.58,55,13.75,67.9,81,4
4,344,16-09-2011,England,Sophia Gardens,b G P Swann,69,79,87.34,124,24.8,77.5,160,5
