,Match,Date,Versus,Ground,How Dismissed,Runs,B/F,S/R,Aggr,Avg,S/R.1,B/F.1,Out Count
0,66,09-01-1999,New Zealand,Owen Delany Park,not out,123*,123,100,123,inf,65.08,123,0
1,67,12-01-1999,New Zealand,McLean Park,c †A C Parore b D L Vettori,38,65,58.46,161,161.0,85.64,188,1
2,68,14-01-1999,New Zealand,Basin Reserve,c R G Twose b G R Larsen,68,71,95.77,229,114.5,88.42,259,2
3,69,16-01-1999,New Zealand,Eden Park,b C L Cairns,51,71,71.83,280,93.33,84.85,330,3
4,70,19-01-1999,New Zealand,AMI Stadium,c C Z Harris b D L Vettori,29,35,82.86,309,77.25,84.66,365,4
5,71,22-03-1999,Sri Lanka,Vidarbha Cricket Association Ground,c J W H Boteju b W P U J C Vaas,116,118,98.31,425,85.0,87.99,483,5
6,72,24-03-1999,Pakistan,Sawai Mansingh Stadium,b Shoaib Akhtar,3,9,33.33,428,71.33,86.99,492,6
7,73,30-03-1999,Sri Lanka,Nehru Stadium (Pune),c A Ranatunga b K E A Upashantha,17,15,113.33,445,63.57,87.77,507,7
8,74,01-04-1999,Pakistan,Punjab Cricket Association IS Bindra Stadium,c Shahid Afridi b Shoaib Akhtar,0,3,0,445,55.62,87.25,510,8
9,75,04-04-1999,Pakistan,M Chinnaswamy Stadium,lbw b Azhar Mahmood,25,37,67.57,470,52.22,85.92,547,9
10,76,08-04-1999,Pakistan,Sharjah Cricket Stadium,c Ijaz Ahmed b Shahid Afridi,28,79,35.44,498,49.8,79.55,626,10
11,77,09-04-1999,England,Sharjah Cricket Stadium,c & b G A Hick,16,38,42.11,514,46.73,77.41,664,11
12,78,11-04-1999,England,Sharjah Cricket Stadium,run out,63,92,68.48,577,48.08,76.32,756,12
13,79,13-04-1999,Pakistan,Sharjah Cricket Stadium,run out,81,121,66.94,658,50.62,75.03,877,13
14,80,16-04-1999,Pakistan,Sharjah Cricket Stadium,lbw b Wasim Akram,0,1,0,658,47.0,74.94,878,14
15,81,15-05-1999,South Africa,County Ground (Hove),b L Klusener,54,75,72,712,47.47,74.71,953,15
16,82,19-05-1999,Zimbabwe,Grace Road,c G W Flower b H H Streak,13,14,92.86,725,45.31,74.97,967,16
17,83,23-05-1999,Kenya,County Ground (Bristol),not out,104*,109,95.41,829,51.81,77.04,1076,16
18,84,26-05-1999,Sri Lanka,The Cooper Associates County Ground,run out,145,129,112.4,974,57.29,80.83,1205,17
19,85,29-05-1999,England,Edgbaston,c M A Ealham b A Flintoff,53,82,64.63,1027,57.06,79.8,1287,18
20,86,04-06-1999,Australia,Kennington Oval,c †A C Gilchrist b G D McGrath,2,6,33.33,1029,54.16,79.58,1293,19
21,87,08-06-1999,Pakistan,Old Trafford,c Shahid Afridi b Wasim Akram,61,89,68.54,1090,54.5,78.87,1382,20
22,88,12-06-1999,New Zealand,Trent Bridge,c S P Fleming b C L Cairns,29,35,82.86,1119,53.29,78.97,1417,21
23,89,23-08-1999,Australia,Galle International Stadium,c †A C Gilchrist b A Symonds,5,11,45.45,1124,51.09,78.71,1428,22
24,90,25-08-1999,Sri Lanka,R Premadasa Stadium,c †R S Kaluwitharana b W P U J C Vaas,22,26,84.62,1146,49.83,78.82,1454,23
25,91,28-08-1999,Australia,Sinhalese Sports Club Ground,c †A C Gilchrist b J N Gillespie,0,2,0,1146,47.75,78.71,1456,24
26,92,29-08-1999,Sri Lanka,Sinhalese Sports Club Ground,c †R S Kaluwitharana b U D U Chandana,13,39,33.33,1159,46.36,77.53,1495,25
27,93,04-09-1999,Zimbabwe,Kallang Ground,c N C Johnson b A M Blignaut,12,15,80,1171,45.04,77.55,1510,26
28,94,05-09-1999,West Indies,Kallang Ground,c H R Bryan b N A M McLean,39,49,79.59,1210,44.81,77.61,1559,27
29,95,07-09-1999,West Indies,Kallang Ground,c S L Campbell b R D King,29,58,50,1239,44.25,76.62,1617,28
30,96,08-09-1999,West Indies,Kallang Ground,not out,103*,124,83.06,1342,47.93,77.08,1741,28
31,97,11-09-1999,West Indies,"Cricket, Skating & Curling Club",c †R D Jacobs b C A Walsh,5,14,35.71,1347,46.45,76.75,1755,29
32,98,12-09-1999,West Indies,"Cricket, Skating & Curling Club",lbw b M V Dillon,16,59,27.12,1363,45.43,75.14,1814,30
33,99,14-09-1999,West Indies,"Cricket, Skating & Curling Club",b M V Dillon,77,87,88.51,1440,46.45,75.75,1901,31
34,100,26-09-1999,South Africa,Gymkhana Club Ground,not out,9*,19,47.37,1449,46.74,75.47,1920,31
35,101,29-09-1999,Kenya,Gymkhana Club Ground,c A V Vadher b M O Odumbe,30,56,53.57,1479,46.22,74.85,1976,32
36,102,01-10-1999,Zimbabwe,Gymkhana Club Ground,lbw b M W Goodwin,12,15,80,1491,45.18,74.89,1991,33
37,103,03-10-1999,South Africa,Gymkhana Club Ground,c J N Rhodes b D N Crookes,30,65,46.15,1521,44.74,73.98,2056,34
38,104,05-11-1999,New Zealand,Madhavrao Scindia Cricket Ground,lbw b N J Astle,39,43,90.7,1560,44.57,74.32,2099,35
39,105,08-11-1999,New Zealand,Lal Bahadur Shastri Stadium,c S P Fleming b C L Cairns,153,153,100,1713,47.58,76.07,2252,36
40,106,11-11-1999,New Zealand,Captain Roop Singh Stadium,c sub b A R Tait,14,31,45.16,1727,46.68,75.65,2283,37
41,107,14-11-1999,New Zealand,Nehru Stadium (Guwahati),c †A C Parore b C L Cairns,5,7,71.43,1732,45.58,75.63,2290,38
42,108,17-11-1999,New Zealand,Feroz Shah Kotla,not out,29*,53,54.72,1761,46.34,75.16,2343,38
